Ref,Val,Package,PosX,PosY,Rot,Side
"110","","",93.970000,-109.525000,0.000000,top
"111","","",83.810000,-112.065000,0.000000,top
"112","","",86.350000,-112.065000,0.000000,top
"113","","",88.890000,-112.065000,0.000000,top
"114","","",91.430000,-112.065000,0.000000,top
"115","","",93.970000,-112.065000,0.000000,top
"116","","",83.810000,-114.605000,0.000000,top
"117","","",86.350000,-114.605000,0.000000,top
"118","","",88.890000,-114.605000,0.000000,top
"119","","",91.430000,-114.605000,0.000000,top
"120","","",93.970000,-114.605000,0.000000,top
"121","","",83.810000,-117.145000,0.000000,top
"122","","",86.350000,-117.145000,0.000000,top
"123","","",88.890000,-117.145000,0.000000,top
"124","","",91.430000,-117.145000,0.000000,top
"125","","",93.970000,-117.145000,0.000000,top
"126","","",83.810000,-119.685000,0.000000,top
"127","","",86.350000,-119.685000,0.000000,top
"128","","",88.890000,-119.685000,0.000000,top
"129","","",91.430000,-119.685000,0.000000,top
"130","","",93.970000,-119.685000,0.000000,top
"131","","",83.810000,-122.225000,0.000000,top
"132","","",86.350000,-122.225000,0.000000,top
"133","","",88.890000,-122.225000,0.000000,top
"134","","",91.430000,-122.225000,0.000000,top
"135","","",93.970000,-122.225000,0.000000,top
"136","","",83.810000,-124.765000,0.000000,top
"137","","",86.350000,-124.765000,0.000000,top
"138","","",88.890000,-124.765000,0.000000,top
"139","","",91.430000,-124.765000,0.000000,top
"140","","",93.970000,-124.765000,0.000000,top
"143","","",96.510000,-89.205000,0.000000,top
"144","","",96.510000,-91.745000,0.000000,top
"145","","",96.510000,-94.285000,0.000000,top
"146","","",96.510000,-106.985000,0.000000,top
"147","","",96.510000,-109.525000,0.000000,top
"148","","",96.510000,-112.065000,0.000000,top
"149","","",96.510000,-114.605000,0.000000,top
"150","","",96.510000,-117.145000,0.000000,top
"151","","",96.510000,-119.685000,0.000000,top
"152","","",96.510000,-122.225000,0.000000,top
"153","","",96.510000,-124.765000,0.000000,top
"154","","",96.510000,-96.825000,0.000000,top
"155","","",99.050000,-117.145000,0.000000,top
"156","","",99.050000,-119.685000,0.000000,top
"157","","",99.050000,-122.225000,0.000000,top
"158","","",99.050000,-124.765000,0.000000,top
"159","","",96.510000,-99.365000,0.000000,top
"160","","",101.590000,-117.145000,0.000000,top
"161","","",101.590000,-119.685000,0.000000,top
"162","","",101.590000,-122.225000,0.000000,top
"163","","",101.590000,-124.765000,0.000000,top
"165","","",104.130000,-117.145000,0.000000,top
"166","","",104.130000,-119.685000,0.000000,top
"167","","",104.130000,-122.225000,0.000000,top
"168","","",104.130000,-124.765000,0.000000,top
"170","","",106.670000,-117.145000,0.000000,top
"171","","",106.670000,-119.685000,0.000000,top
"172","","",106.670000,-122.225000,0.000000,top
"173","","",106.670000,-124.765000,0.000000,top
"175","","",109.210000,-117.145000,0.000000,top
"176","","",109.210000,-119.685000,0.000000,top
"177","","",109.210000,-122.225000,0.000000,top
"178","","",109.210000,-124.765000,0.000000,top
"180","","",111.750000,-117.145000,0.000000,top
"181","","",111.750000,-119.685000,0.000000,top
"182","","",111.750000,-122.225000,0.000000,top
"183","","",111.750000,-124.765000,0.000000,top
